Gen	No. de genes que regula	Genes regulados	Efecto
rbsR	12	add, dcd, purD, purH, rbsA, rbsB, rbsC, rbsD, rbsK, rbsR, rbsZ, udk	Dual
rcdA	14	asr, bluF, csgD, csgE, csgF, csgG, rcdA, rmf, rsd, sulA, yagK, ybjI, ybjJ, ydeI	Dual
rclR	3	rclA, rclB, rclC	Dual
rcnR	3	rcnA, rcnB, rcnR	Dual
rcsB	26	bdm, ftsA, ftsZ, gadA, gadB, gadC, gadX, gadY, hdeA, hdeB, hdeD, lolA, osmB, osmC, rarA, rpoE, rprA, rseA, rseB, rseC, rseD, safA, sra, ydeO, ydeP, yhiD	Dual
rcsB;gadE	9	adiC, aslB, cadA, cadB, dctR, gadA, gadX, slp, yhiM	Dual
rcsB;rcsA	16	csgD, csgE, csgF, csgG, flhC, flhD, rcsA, wcaA, wcaB, wza, wzb, wzc, yjbE, yjbF, yjbG, yjbH	Dual
relB	3	hokD, relB, relE	Dual
relB;relE	3	hokD, relB, relE	Dual
rhaR	2	rhaR, rhaS	Dual
rhaS	6	rhaA, rhaB, rhaD, rhaR, rhaS, rhaT	Dual
rne	1	rne	Represor
rob	52	acnA, acrA, acrB, acrZ, acs, actP, aldA, aslB, astC, chaC, dapD, elaB, fadA, fadB, fadD, fadL, fumC, glgS, glnD, inaA, ldtB, lpxL, map, marA, marB, marR, mdaB, mdtD, micF, mltF, narG, nfo, nfsA, nfsB, rimK, rob, sodA, tolC, waaY, waaZ, yacH, ybiT, ybjC, ybjN, ydcL, ygiB, ygiC, yhbO, yhbW, yiaG, yjcH, zwf	Dual
rplA	6	rplA, rplJ, rplK, rplL, rpoB, rpoC	Dual
rplD	1	tnaA	Represor
rplM	2	rplM, rpsI	Dual
rplT	2	rplT, rpmI	Dual
rplY	1	rplY	Represor
rpmE	1	rpmE	Represor
rpoN	6	cspC, fadL, mutM, nth, yfcZ, yobF	Dual
rprA	9	csgD, csgE, csgF, csgG, dgcM, hdeD, lrhA, narP, rpoS	Dual
rpsA	5	fis, manY, pnp, rpsA, rpsO	Dual
rpsB	3	rpsB, tff, tsf	Dual
rpsD	4	rplQ, rpsD, rpsK, rpsM	Dual
rpsG	4	fusA, rpsG, rpsL, tufA	Dual
rpsH	12	rplE, rplF, rplN, rplO, rplR, rplX, rpmD, rpmJ, rpsE, rpsH, rpsN, secY	Dual
rpsO	1	rpsO	Represor
rpsR;rpsF	4	priB, rplI, rpsF, rpsR	Dual
rseX	4	fimB, ihfB, ompA, ompC	Dual
rspR	2	rspA, rspB	Dual
rstA	10	asr, csgD, csgE, csgF, csgG, narG, narH, narI, narJ, ompF	Dual
rtcR	2	rtcA, rtcB	Dual
rutR	17	carA, carB, fepB, gadW, gadX, gloA, nemA, nemR, pdeR, rutA, rutB, rutC, rutD, rutE, rutF, rutG, rutR	Dual
rybB	15	csgD, csgE, csgF, csgG, fadL, fiu, maoP, nmpC, ompC, ompF, ompW, rbsB, rluD, sdhC, tsx	Dual
rydC	12	cfa, csgD, csgE, csgF, csgG, pheA, trpA, trpB, trpC, trpD, trpE, trpL	Dual
ryhB	45	acnB, b0725, bfr, cirA, cysE, erpA, fumA, fur, grxD, hemB, hemH, iscA, iscR, iscS, iscU, marA, msrB, nirB, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, sdhA, sdhB, sdhC, sdhD, sdhX, shiA, sodA, sodB, sucA, sucB, sucC, sucD, uof, yieP	Dual
sdhX	6	ackA, fdhE, fdoG, fdoH, fdoI, katG	Dual
sdiA	7	ftsA, ftsZ, gadW, gadY, rflP, rmf, rsd	Dual
sdsN	3	hmp, narP, nfsA	Dual
sdsR	5	mutS, tolC, yeaG, yeaH, yhcB	Dual
selB	2	selA, selB	Dual
sgrR	9	alaC, setA, sgrR, sgrS, sgrT, sroA, thiB, thiP, thiQ	Dual
sgrS	10	adiY, asd, folE, manX, manY, manZ, ptsG, purR, yeiB, yigL	Dual
sibC	1	ibsC	Represor
slyA	48	cas1, cas2, casA, casB, casC, casD, casE, elfA, fecI, fecR, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, gspM, gspO, hlyE, leuO, mdtM, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, pagP, rmf, rsd, sgcA, sgcB, sgcC, sgcE, sgcQ, sgcR, sgcX, slyA, yjiN	Dual
soxR	8	aroF, fumC, sodA, soxR, soxS, tyrA, yjcB, yrbL	Dual
soxS	54	acnA, acrA, acrB, acrZ, aldA, cadA, dapD, decR, fldA, fldB, fpr, fumC, fur, glnD, inaA, lpxC, lpxL, map, marA, marB, marR, mdaB, micF, nepI, nfo, nfsA, nfsB, ompN, ompW, pbpG, pgi, poxB, pqiA, pqiB, pqiC, ptsG, ribA, rimK, rob, sodA, soxS, tolC, uof, waaY, waaZ, ybjC, ybjN, ydbK, ygiB, ygiC, yhbW, yrbL, zinT, zwf	Dual
spf	27	araF, ascF, atoD, caiA, dppB, ebgC, fucI, fucK, fucP, galK, gdhA, glpF, gltA, gss, lldP, maeA, nanC, nanT, paaK, puuE, sdhC, srlA, sthA, sucC, xylF, yjiA, ytfJ	Dual
sraG	1	pnp	Represor
srlR	7	gutM, gutQ, srlA, srlB, srlD, srlE, srlR	Dual
srsR	38	adhE, bluR, cdgI, dhaK, dhaL, dhaM, dinJ, fucA, fucI, fucK, fucO, fucP, fucR, fucU, hycB, narZ, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, paaZ, pflB, yafL, yafQ, yfdK, yfdL, yfdM, yfdN, yfdO, yfdP, yfdQ	Dual
stfZ	1	ftsZ	Represor
stpA	21	bglB, bglF, bglG, cas1, cas2, casA, casB, casC, casD, casE, fau, leuO, malE, malF, malG, malH, proV, proW, proX, ssrS, stpA	Dual
sutR	7	cysE, fliA, fliZ, pfkB, tcyJ, ydcO, ypfN	Dual
sxy;crp	1	sxy	Activador
symR	1	symE	Represor
tdcA	7	tdcA, tdcB, tdcC, tdcD, tdcE, tdcF, tdcG	Dual
tdcR	7	tdcA, tdcB, tdcC, tdcD, tdcE, tdcF, tdcG	Dual
thrS	1	thrS	Represor
torR	19	adiA, adiC, gadB, gadC, gadE, hdeA, hdeB, mdtE, mdtF, rpoS, slp, tnaA, tnaB, tnaC, torA, torC, torD, torR, yhiD	Dual
treR	2	treB, treC	Dual
trpR	12	aroH, aroL, aroM, mtr, trpA, trpB, trpC, trpD, trpE, trpL, trpR, yaiA	Dual
ttdR	4	ttdA, ttdB, ttdR, ttdT	Dual
tyrR	11	aroF, aroG, aroL, aroM, aroP, folA, mtr, tyrA, tyrB, tyrR, yaiA	Dual
uhpA	2	uhpT, uhpU	Dual
uhpU	2	fliC, lrhA	Dual
uidR	4	uidA, uidB, uidC, uidR	Dual
ulaR	7	ulaA, ulaB, ulaC, ulaD, ulaE, ulaF, ulaG	Dual
uvrY	6	csrB, csrC, luxS, uhpT, uhpU, ydeP	Dual
uxuR	11	exuR, fliC, gntP, lgoD, lgoR, uidA, uidB, uidC, uxuA, uxuB, uxuR	Dual
xapR	2	xapA, xapB	Dual
xylR	9	araC, xylA, xylB, xylE, xylF, xylG, xylH, xylR, xylZ	Dual
xynR	5	insX, yagA, yagB, yagE, yagF	Dual
yafC	1	cysJ	Activador
yafQ;dinJ	3	cspE, dinJ, yafQ	Dual
yciT	4	bsmA, cusF, rdcA, ybiY	Dual
ycjW	12	ompG, ycjM, ycjN, ycjO, ycjP, ycjQ, ycjR, ycjS, ycjT, ycjU, ycjV, ymjB	Dual
ydaT	1	rcsA	Activador
ydcI	5	flu, gadB, iraP, isrC, smrB	Dual
ydeO	24	adiA, appA, appB, appC, appX, dctR, gadB, gadE, gadF, gadW, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, mdtE, mdtF, nhaR, safA, slp, uspD, ydeO, yiiS	Dual
ydiP	2	cspA, cspE	Dual
yebK	1	yebK	Represor
yefM	2	yefM, yoeB	Dual
yegW	3	yegT, yegU, yegV	Dual
yeiE	15	argO, cysJ, dcuC, ftp, gltF, infA, mdtF, pflB, putA, sodC, ssuA, uspF, ydcT, yibQ, yoaC	Dual
yeiL	1	yeiL	Activador
yfeC	6	hybE, rpmB, rpmH, rpsU, yfeC, ygdR	Dual
ygaV	4	cirA, fhuE, fhuF, nfeF	Dual
ygbI	2	ygbJ, ygbK	Dual
ygiV	1	mcbR	Represor
yhaJ	8	bssS, ybiJ, ygiD, yhaJ, yhaK, yhaL, yhhW, yqjF	Dual
yiaU	6	adeP, gltD, waaP, yiaT, yiaV, yiaW	Dual
yidZ	4	malE, ppiC, rbsD, rof	Dual
yieP	7	cusA, dauA, rydC, ybiX, yieP, ykgE, yohJ	Dual
yjjQ	10	dgcN, flhC, flhD, gfcA, ompC, ybhL, yciX, yfiB, yfiR, ymiA	Dual
yoeB;yefM	2	yefM, yoeB	Dual
yqhC	2	dkgA, yqhD	Dual
yrdG	1	mscL	Represor
zntR	2	rmf, rsd	Dual
zraR	28	acrE, cpxP, cspA, cspB, exuR, fhuA, fliA, gadW, glnA, glnH, mdtL, mgtA, pnp, raiA, rfaD, rmf, rpoH, sspA, ssrA, tnaA, tnaB, yhdW, yhhY, yjjY, yrdD, zraP, zraR, zraS	Dual
zur	7	pliG, ykgM, ykgO, zinT, znuA, znuB, znuC	Dual
