Gen	No. de genes que regula	Genes regulados	Efecto
cyaR	9	hdeD, luxS, nadE, ompX, rpoS, yacL, yliM, yobF, yqaE	Dual
cynR	4	cynR, cynS, cynT, cynX	Dual
cysB	33	ariR, cbl, cysA, cysB, cysC, cysD, cysH, cysI, cysJ, cysK, cysM, cysN, cysP, cysU, cysW, dgcZ, hslJ, ssuA, ssuB, ssuC, ssuD, ssuE, tauA, tauB, tauC, tauD, tcyJ, tcyP, ybdN, yciW, yfbR, ygeH, yoaC	Dual
cytR	14	aphA, cdd, cytR, deoA, deoB, deoC, deoD, nupC, nupG, ppiA, rpoH, tsx, udp, ycdZ	Dual
dcuR	13	aspA, aspX, dctA, dcuA, dcuB, dpiA, dpiB, frdA, frdB, frdC, frdD, fumB, pck	Dual
deaD	4	ldtD, mntR, sdiA, uvrY	Dual
decR	2	cyuA, cyuP	Dual
deoR	6	deoA, deoB, deoC, deoD, nupG, tsx	Dual
dgoR	5	dgoA, dgoD, dgoK, dgoR, dgoT	Dual
dhaR	4	dhaK, dhaL, dhaM, dhaR	Dual
dicA	9	dicA, dicB, dicC, insD7, intQ, ydfD, ydfE, ydfW, ydfX	Dual
dicD	3	dicA, dicB, dicC	Dual
dicF	4	ftsZ, manX, pykA, xylR	Dual
dksA	158	alaT, alaU, alaV, argI, csrA, csrB, csrC, dksA, dnaG, dsrA, dusB, fabD, fabG, fabH, fadR, fimB, fis, flu, folK, fusA, gltT, gltU, gltV, gltW, gluQ, hisA, hisB, hisC, hisD, hisF, hisG, hisH, hisI, hisL, hlyE, hmp, idlP, ihfA, ihfB, ileT, ileU, ileV, infC, iraD, iraP, isrC, livJ, mutM, obgE, pcnB, pheM, pheS, pheT, recG, rimM, rplA, rplB, rplC, rplD, rplE, rplF, rplJ, rplK, rplL, rplM, rplN, rplO, rplP, rplQ, rplR, rplS, rplT, rplU, rplV, rplW, rplX, rplY, rpmA, rpmB, rpmC, rpmD, rpmG, rpmI, rpmJ, rpoA, rpoB, rpoC, rpoD, rpoE, rpoS, rpoZ, rpsA, rpsC, rpsD, rpsE, rpsG, rpsH, rpsI, rpsJ, rpsK, rpsL, rpsM, rpsN, rpsP, rpsQ, rpsS, rpsT, rpsU, rrfA, rrfB, rrfC, rrfD, rrfE, rrfF, rrfG, rrfH, rrlA, rrlB, rrlC, rrlD, rrlE, rrlG, rrlH, rrsA, rrsB, rrsC, rrsD, rrsE, rrsG, rrsH, rseA, rseB, rseC, rybB, secY, setA, sgrR, sgrS, sgrT, spoT, sroA, talA, thiB, thiP, thiQ, thrA, thrB, thrC, thrL, thrS, thrV, tktB, trmD, trmH, tufA, yhbE, ytiC, ytiD	Dual
dnaA	12	aldA, guaA, guaB, idlP, iraD, polA, recN, rpoH, uvrB, yjeV, ytiC, ytiD	Dual
dpiA	11	appY, citC, citD, citE, citF, citG, citX, dpiA, dpiB, exuT, mdh	Dual
dsdC	1	dsdA	Activador
dsrA	10	hns, lrp, rbsA, rbsB, rbsC, rbsD, rbsK, rbsR, rbsZ, rpoS	Dual
ebgR	2	ebgA, ebgC	Dual
envR	2	acrA, acrB	Dual
envY	2	ompC, ompF	Dual
evgA	21	G7121, acrD, emrK, emrY, evgA, evgL, evgS, frc, gadE, gadF, mdtE, mdtF, oxc, safA, ydeO, ydeP, yegR, yegZ, yfdE, yfdV, yfdX	Dual
exuR	10	exuR, exuT, lgoD, lgoR, uxaA, uxaB, uxaC, uxuA, uxuB, uxuR	Dual
fabR	2	fabA, fabB	Dual
fadR	23	accA, accB, accC, accD, fabA, fabB, fabD, fabG, fabH, fabI, fadA, fadB, fadD, fadE, fadH, fadI, fadJ, fadL, fadM, fadR, iclR, sroD, uspA	Dual
feaR	2	feaB, tynA	Dual
fhlA	30	fdhF, fhlA, focB, hycA, hycB, hycC, hycD, hycE, hycF, hycG, hycH, hycI, hydN, hyfA, hyfB, hyfC, hyfD, hyfE, hyfF, hyfG, hyfH, hyfI, hyfJ, hyfR, hypA, hypB, hypC, hypD, hypE, hypF	Dual
fimR2	5	fliG, fliI, fliJ, fliR, hofQ	Dual
fimZ	5	puuB, puuC, puuD, sfmA, sfmC	Dual
