Gen	No. de genes que regula	Genes regulados	Efecto
CpxQ	3	cfa, cpxP, skp	Represor
CpxR	130	acrD, acs, ampH, appC, aroG, ascF, astC, atpB, atpI, bacA, baeR, baeS, bamE, btsT, carA, carB, casA, cbl, chaA, chaB, cheA, cheW, cpxA, cpxP, cpxQ, cpxR, csgA, csgB, csgC, csgD, csgE, csgF, csgG, cspA, cyaR, degP, dgcZ, dgt, dsbA, dsbC, dsbG, eamA, edd, efeU, epmB, ettA, exbB, fabZ, fadE, fadI, fdnG, feaR, fimB, focA, frc, frmB, ftnB, galP, gapC, glsA, gmhA, gpmM, gstA, hcp, hha, inaA, kbp, ldtC, ldtD, lpxA, lpxD, marA, marB, marR, matA, mdtA, mdtB, mdtC, mdtD, metC, motA, motB, motR, mscM, mtn, mzrA, nuoA, ompC, ompF, pdeB, pflB, plsB, ppiA, ppiD, psd, qmcA, rpoE, rpoH, rprA, rseA, rseB, rseC, rseD, sbmA, sdhC, shoB, skp, slt, spy, srkA, tomB, tsr, ung, xylE, yacH, yaiW, yccA, yddG, ydeE, yebE, yfaH, ygjR, yhdJ, yhdW, yibN, yidQ, yjfN, yncE, yqaE, yqjA	Dual
Cra	109	aceA, aceB, aceE, aceF, aceK, acnA, adhE, aroP, betA, betB, betI, betT, crp, csgD, csgE, csgF, csgG, cydA, cydB, cysG, eda, edd, eno, envC, epd, fbaA, fbaB, fbp, fruA, fruB, fruK, fumD, gapA, glcC, gpmM, hypF, icd, lpd, marA, marB, marR, mdtA, metE, mpl, msrB, nikA, nikB, nikC, nikD, nikE, nikR, nirB, nirC, nirD, nrdE, nrdF, nrdH, nrdI, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, pck, pdeL, pdhR, pfkA, pgk, php, poxB, ppc, ppsA, ppsR, prpB, prpC, prpD, prpE, pykF, raiA, setA, sgrS, sgrT, ssuA, ssuB, ssuC, ssuD, ssuE, tmaR, tpiA, treB, treC, ychE, yeaC, yeaD, yhfS, yhfT, yhfU, yhfW, yhfX, yibQ, zwf	Dual
CreB	16	ackA, cbrA, cbrB, cpdA, creD, malE, malF, malG, malH, nudF, parE, pta, recG, talA, yqiA, yqiB	Dual
CsgD	28	csgA, csgB, csgC, csgD, csgE, csgF, csgG, csgI, dgcC, flgM, flgN, fliA, fliE, fliF, fliG, fliH, fliI, fliJ, fliK, fliZ, iraP, nlpA, pepD, tcyJ, ubiT, wrbA, yccJ, yhbS	Dual
CspA	2	gyrA, hns	Activador
CsqR	5	csqR, yihS, yihT, yihU, yihV	Represor
CsrA	16	gadA, gadB, gadC, gadE, idlP, iraD, moaA, moaB, moaC, moaD, moaE, rpoE, ydeO, ymdA, ytiC, ytiD	Dual
CueR	9	copA, cueO, moaA, moaB, moaC, moaD, moaE, rmf, rsd	Dual
CusR	14	cusA, cusB, cusC, cusF, cusR, cusS, cyoA, cyoB, cyoC, cyoD, cyoE, hiuH, msrP, msrQ	Activador
CyaR	9	hdeD, luxS, nadE, ompX, rpoS, yacL, yliM, yobF, yqaE	Represor
CynR	4	cynR, cynS, cynT, cynX	Dual
